,Category,Description,Data.Cholesterol,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin C,Data.Fiber,Data.Major Minerals.Calcium,Data.Protein,Data.Fat.Monosaturated Fat,Data.Major Minerals.Sodium,Data.Major Minerals.Iron,Data.Sugar Total
0,Milk,"Milk, human",14,61,5.0,0.0,32,1.03,1.658,17,0.03,6.89
1,Milk,"Milk, NFS",8,59,0.1,0.0,126,3.34,0.426,39,0.0,4.89
2,Milk,"Milk, whole",12,32,0.0,0.0,123,3.28,0.688,38,0.0,4.81
3,Milk,"Milk, low sodium, whole",14,29,0.9,0.0,101,3.1,0.999,3,0.05,4.46
4,Milk,"Milk, calcium fortified, whole",12,32,0.0,0.0,123,3.28,0.688,38,0.0,4.81
5,Milk,"Milk, calcium fortified, low fat (1%)",5,58,0.0,0.0,126,3.38,0.21,39,0.0,4.96
6,Milk,"Milk, calcium fortified, fat free (skim)",2,137,1.0,0.0,204,3.4,0.047,52,0.04,4.85
7,Milk,"Milk, reduced fat (2%)",8,83,0.2,0.0,126,3.35,0.4,39,0.0,4.89
8,Milk,"Milk, acidophilus, low fat (1%)",5,58,0.0,0.0,126,3.38,0.21,39,0.0,4.96
9,Milk,"Milk, acidophilus, reduced fat (2%)",8,83,0.2,0.0,126,3.35,0.4,39,0.0,4.89
10,Milk,"Milk, low fat (1%)",5,58,0.0,0.0,126,3.38,0.21,39,0.0,4.96
11,Milk,"Milk, fat free (skim)",3,64,0.0,0.0,132,3.43,0.017,41,0.0,5.05
12,Milk,"Milk, lactose free, low fat (1%)",5,58,0.0,0.0,126,3.38,0.21,39,0.0,4.96
13,Milk,"Milk, lactose free, fat free (skim)",3,64,0.0,0.0,132,3.43,0.017,41,0.0,5.05
14,Milk,"Milk, lactose free, reduced fat (2%)",8,83,0.2,0.0,126,3.35,0.4,39,0.0,4.89
15,Milk,"Milk, lactose free, whole",12,32,0.0,0.0,123,3.28,0.688,38,0.0,4.81
16,Buttermilk,"Buttermilk, fat free (skim)",4,14,1.0,0.0,116,3.31,0.254,148,0.05,4.79
